행정구역,연도,월,연령대,인구수
서울특별시,2008,4,100세 이상,399
부산광역시,2008,4,100세 이상,108
대구광역시,2008,4,100세 이상,72
인천광역시,2008,4,100세 이상,91
광주광역시,2008,4,100세 이상,59
대전광역시,2008,4,100세 이상,52
울산광역시,2008,4,100세 이상,18
경기도,2008,4,100세 이상,385
강원도,2008,4,100세 이상,114
충청북도,2008,4,100세 이상,80
충청남도,2008,4,100세 이상,143
전라북도,2008,4,100세 이상,179
전라남도,2008,4,100세 이상,213
경상북도,2008,4,100세 이상,148
경상남도,2008,4,100세 이상,119
제주특별자치도,2008,4,100세 이상,60
서울특별시,2008,5,0~9세,947468
부산광역시,2008,5,0~9세,303594
대구광역시,2008,5,0~9세,249396
인천광역시,2008,5,0~9세,287482
광주광역시,2008,5,0~9세,169135
대전광역시,2008,5,0~9세,168108
울산광역시,2008,5,0~9세,125776
경기도,2008,5,0~9세,1344902
강원도,2008,5,0~9세,151653
충청북도,2008,5,0~9세,161071
충청남도,2008,5,0~9세,215522
전라북도,2008,5,0~9세,191449
전라남도,2008,5,0~9세,191049
경상북도,2008,5,0~9세,260752
경상남도,2008,5,0~9세,351402
제주특별자치도,2008,5,0~9세,68073
서울특별시,2008,5,10~19세,1282176
부산광역시,2008,5,10~19세,471170
대구광역시,2008,5,10~19세,369103
인천광역시,2008,5,10~19세,396724
광주광역시,2008,5,10~19세,227312
대전광역시,2008,5,10~19세,222747
울산광역시,2008,5,10~19세,177077
경기도,2008,5,10~19세,1620849
강원도,2008,5,10~19세,198015
충청북도,2008,5,10~19세,211205
충청남도,2008,5,10~19세,260744
전라북도,2008,5,10~19세,257499
전라남도,2008,5,10~19세,252260
경상북도,2008,5,10~19세,340547
경상남도,2008,5,10~19세,452011
제주특별자치도,2008,5,10~19세,81484
서울특별시,2008,5,20~29세,1720553
부산광역시,2008,5,20~29세,556412
대구광역시,2008,5,20~29세,367420
인천광역시,2008,5,20~29세,402242
광주광역시,2008,5,20~29세,217577
대전광역시,2008,5,20~29세,229024
울산광역시,2008,5,20~29세,160226
경기도,2008,5,20~29세,1584647
강원도,2008,5,20~29세,197985
충청북도,2008,5,20~29세,212058
충청남도,2008,5,20~29세,274117
